"Step","quality_score","whole-waterfall-23 - quality_score__MIN","whole-waterfall-23 - quality_score__MAX"
"0","0.8","0.8","0.8"
"1","0.2","0.2","0.2"
"2","0.9","0.9","0.9"
"3","0.8","0.8","0.8"
"4","0.9","0.9","0.9"
"5","0.9","0.9","0.9"
"6","0.7","0.7","0.7"
"7","1","1","1"
"8","1","1","1"
"9","1","1","1"
"10","1","1","1"
"11","1","1","1"
"12","1","1","1"
"13","1","1","1"
"14","1","1","1"
"15","0.6","0.6","0.6"
"16","0.8","0.8","0.8"
"17","0.9","0.9","0.9"
"18","0.8","0.8","0.8"
"19","0.9","0.9","0.9"
"20","0.8","0.8","0.8"
"21","0.9","0.9","0.9"
"22","1","1","1"
"23","1","1","1"
"24","0.9","0.9","0.9"
"25","1","1","1"
"26","0.8","0.8","0.8"
"27","0.4","0.4","0.4"
"28","1","1","1"
"29","1","1","1"
"30","1","1","1"
"31","1","1","1"
"32","0.9","0.9","0.9"
"33","1","1","1"
"34","0.6","0.6","0.6"
"35","1","1","1"
"36","1","1","1"
"37","0.9","0.9","0.9"
"38","0.9","0.9","0.9"
"39","0.8","0.8","0.8"
"40","1","1","1"
"41","1","1","1"
"42","0.9","0.9","0.9"
"43","1","1","1"
"44","1","1","1"
"45","0.2","0.2","0.2"
"46","1","1","1"
"47","0.8","0.8","0.8"
"48","0.9","0.9","0.9"
"49","0.8","0.8","0.8"
"50","0.9","0.9","0.9"
"51","0.8","0.8","0.8"
"52","0.8","0.8","0.8"
"53","0.8","0.8","0.8"
"54","0.8","0.8","0.8"
"55","0.8","0.8","0.8"
"56","0.8","0.8","0.8"
"57","0.8","0.8","0.8"
"58","1","1","1"
"59","0.9","0.9","0.9"
"60","0.4","0.4","0.4"
"61","1","1","1"
"62","0.6","0.6","0.6"
"63","0.6","0.6","0.6"
"64","0.5","0.5","0.5"
"65","1","1","1"
"66","0.8","0.8","0.8"
"67","0.9","0.9","0.9"
"68","1","1","1"
"69","1","1","1"
"70","0.9","0.9","0.9"
"71","0.6","0.6","0.6"
"72","1","1","1"
"73","0.8","0.8","0.8"
"74","0.9","0.9","0.9"
"75","1","1","1"
"76","1","1","1"
"77","0.8","0.8","0.8"
"78","0.9","0.9","0.9"
"79","0.8","0.8","0.8"
"80","0.8","0.8","0.8"
"81","0.8","0.8","0.8"
"82","0.9","0.9","0.9"
"83","0.8","0.8","0.8"
"84","0.8","0.8","0.8"
"85","0.8","0.8","0.8"
"86","0.9","0.9","0.9"
"87","1","1","1"
"88","1","1","1"
"89","1","1","1"
"90","1","1","1"
"91","0.8","0.8","0.8"
"92","0.8","0.8","0.8"
"93","1","1","1"
"94","1","1","1"
"95","0.8","0.8","0.8"
"96","0.4","0.4","0.4"
"97","0.8","0.8","0.8"
"98","0.8","0.8","0.8"
"99","1","1","1"
"100","0.8","0.8","0.8"
"101","0.6","0.6","0.6"
"102","0.9","0.9","0.9"
"103","0.8","0.8","0.8"
"104","1","1","1"
"105","1","1","1"
"106","0.8","0.8","0.8"
"107","0.9","0.9","0.9"
"108","0.8","0.8","0.8"
"109","0.8","0.8","0.8"
"110","1","1","1"
"111","0.8","0.8","0.8"
"112","0.9","0.9","0.9"
"113","1","1","1"
"114","0.8","0.8","0.8"
"115","1","1","1"
"116","1","1","1"
"117","1","1","1"
"118","0.8","0.8","0.8"
"119","0.9","0.9","0.9"
"120","1","1","1"
"121","1","1","1"
"122","0.8","0.8","0.8"
"123","1","1","1"
"124","0.8","0.8","0.8"
"125","0.8","0.8","0.8"
"126","0.9","0.9","0.9"
"127","0.8","0.8","0.8"
"128","1","1","1"
"129","0.8","0.8","0.8"
"130","0.9","0.9","0.9"
"131","0.8","0.8","0.8"
"132","0.9","0.9","0.9"
"133","0.8","0.8","0.8"
"134","0.8","0.8","0.8"
"135","0.8","0.8","0.8"
"136","1","1","1"
"137","0.9","0.9","0.9"
"138","1","1","1"
"139","0.6","0.6","0.6"
"140","0.9","0.9","0.9"
"141","1","1","1"
"142","1","1","1"
"143","1","1","1"
"144","1","1","1"
"145","0.8","0.8","0.8"
"146","1","1","1"
"147","0.8","0.8","0.8"
"148","0.2","0.2","0.2"
"149","1","1","1"
"150","0","0","0"
"151","1","1","1"
"152","0.9","0.9","0.9"
"153","1","1","1"
"154","0.8","0.8","0.8"
"155","0.7","0.7","0.7"
"156","0.8","0.8","0.8"
"157","0.8","0.8","0.8"
"158","0.8","0.8","0.8"
"159","0.8","0.8","0.8"
"160","0.7","0.7","0.7"
"161","0.8","0.8","0.8"
"162","0.9","0.9","0.9"
"163","0.9","0.9","0.9"
"164","0.4","0.4","0.4"
"165","1","1","1"
"166","1","1","1"
"167","0.8","0.8","0.8"
"168","0.9","0.9","0.9"
"169","1","1","1"
"170","0.8","0.8","0.8"
"171","0.9","0.9","0.9"
"172","1","1","1"
"173","0.9","0.9","0.9"
"174","0.8","0.8","0.8"
"175","0.8","0.8","0.8"
"176","0.8","0.8","0.8"
"177","1","1","1"
"178","0.8","0.8","0.8"
"179","1","1","1"
"180","1","1","1"
"181","0.8","0.8","0.8"
"182","0.5","0.5","0.5"
"183","0.9","0.9","0.9"
"184","0.9","0.9","0.9"
"185","1","1","1"
"186","0.8","0.8","0.8"
"187","0.4","0.4","0.4"
"188","1","1","1"
"189","0.8","0.8","0.8"
"190","0.4","0.4","0.4"
"191","1","1","1"
"192","0.9","0.9","0.9"
"193","1","1","1"
"194","0.9","0.9","0.9"
"195","0.9","0.9","0.9"
"196","1","1","1"
"197","0.9","0.9","0.9"
"198","1","1","1"
"199","0.9","0.9","0.9"
"200","1","1","1"
"201","0.4","0.4","0.4"
"202","0.95","0.95","0.95"
"203","0.4","0.4","0.4"
"204","1","1","1"
"205","1","1","1"
"206","0.2","0.2","0.2"
"207","1","1","1"
"208","0.9","0.9","0.9"
"209","0.8","0.8","0.8"
"210","0.8","0.8","0.8"
"211","1","1","1"
"212","1","1","1"
"213","0.8","0.8","0.8"
"214","1","1","1"
"215","0.6","0.6","0.6"
"216","0.8","0.8","0.8"
"217","0.9","0.9","0.9"
"218","1","1","1"
"219","1","1","1"
"220","0.7","0.7","0.7"
"221","0.8","0.8","0.8"
"222","1","1","1"
"223","1","1","1"
"224","0.9","0.9","0.9"
"225","1","1","1"
"226","0.8","0.8","0.8"
"227","0.4","0.4","0.4"
"228","1","1","1"
"229","1","1","1"
"230","0.9","0.9","0.9"
"231","1","1","1"
"232","1","1","1"
"233","1","1","1"
"234","1","1","1"
"235","0.8","0.8","0.8"
"236","1","1","1"
"237","1","1","1"
"238","1","1","1"
"239","1","1","1"
"240","0.9","0.9","0.9"
"241","1","1","1"
"242","0.8","0.8","0.8"
"243","1","1","1"
"244","1","1","1"
"245","1","1","1"
"246","1","1","1"
"247","0.8","0.8","0.8"
"248","1","1","1"
"249","0.8","0.8","0.8"
"250","0.9","0.9","0.9"
"251","0.8","0.8","0.8"
"252","0.8","0.8","0.8"
"253","0.8","0.8","0.8"
"254","0.8","0.8","0.8"
"255","0.8","0.8","0.8"
"256","0.6","0.6","0.6"
"257","0.5","0.5","0.5"
"258","1","1","1"
"259","0.8","0.8","0.8"
"260","0.4","0.4","0.4"
"261","1","1","1"
"262","0.8","0.8","0.8"
"263","0.8","0.8","0.8"
"264","1","1","1"
"265","1","1","1"
"266","0.8","0.8","0.8"
"267","0.9","0.9","0.9"
"268","0.9","0.9","0.9"
"269","1","1","1"
"270","0.9","0.9","0.9"
"271","0.8","0.8","0.8"
"272","1","1","1"
"273","1","1","1"
"274","0.8","0.8","0.8"
"275","0.8","0.8","0.8"
"276","0.9","0.9","0.9"
"277","0.9","0.9","0.9"
"278","0.8","0.8","0.8"
"279","0.8","0.8","0.8"
"280","0.8","0.8","0.8"
"281","0.9","0.9","0.9"
"282","0.8","0.8","0.8"
"283","0.9","0.9","0.9"
"284","0.8","0.8","0.8"
"285","0.8","0.8","0.8"
"286","1","1","1"
"287","1","1","1"
"288","1","1","1"
"289","1","1","1"
"290","0.5","0.5","0.5"
"291","0.6","0.6","0.6"
"292","0.8","0.8","0.8"
"293","1","1","1"
"294","0.9","0.9","0.9"
"295","0.9","0.9","0.9"
"296","0.8","0.8","0.8"
"297","0.8","0.8","0.8"
"298","0.8","0.8","0.8"
"299","0.9","0.9","0.9"
"300","0.9","0.9","0.9"
"301","0.8","0.8","0.8"
"302","1","1","1"
"303","1","1","1"
"304","0.9","0.9","0.9"
"305","1","1","1"
"306","0.8","0.8","0.8"
"307","0.9","0.9","0.9"
"308","0.9","0.9","0.9"
"309","0.8","0.8","0.8"
"310","1","1","1"
"311","0.9","0.9","0.9"
"312","1","1","1"
"313","0.8","0.8","0.8"
"314","1","1","1"
"315","1","1","1"
"316","1","1","1"
"317","1","1","1"
"318","1","1","1"
"319","0.9","0.9","0.9"
"320","1","1","1"
"321","0.9","0.9","0.9"
"322","0.8","0.8","0.8"
"323","0.8","0.8","0.8"
"324","1","1","1"
"325","0.8","0.8","0.8"
"326","0.8","0.8","0.8"
"327","0.8","0.8","0.8"
"328","1","1","1"
"329","1","1","1"
"330","0.9","0.9","0.9"
"331","0.8","0.8","0.8"
"332","0.6","0.6","0.6"
"333","0.8","0.8","0.8"
"334","0.8","0.8","0.8"
"335","1","1","1"
"336","1","1","1"
"337","0.8","0.8","0.8"
"338","0.9","0.9","0.9"
"339","0.8","0.8","0.8"
"340","0.8","0.8","0.8"
"341","0.8","0.8","0.8"
"342","0.8","0.8","0.8"
"343","1","1","1"
"344","1","1","1"
"345","1","1","1"
"346","1","1","1"
"347","1","1","1"
"348","0.8","0.8","0.8"
"349","1","1","1"
"350","1","1","1"
"351","0.8","0.8","0.8"
"352","1","1","1"
"353","1","1","1"
"354","0.8","0.8","0.8"
"355","1","1","1"
"356","1","1","1"
"357","0.8","0.8","0.8"
"358","0.8","0.8","0.8"
"359","0.4","0.4","0.4"
"360","0.8","0.8","0.8"
"361","0.8","0.8","0.8"
"362","0.8","0.8","0.8"
"363","1","1","1"
"364","0.8","0.8","0.8"
"365","1","1","1"
"366","1","1","1"
"367","1","1","1"
"368","1","1","1"
"369","0.9","0.9","0.9"
"370","1","1","1"
"371","0.9","0.9","0.9"
"372","0.6","0.6","0.6"
"373","0.9","0.9","0.9"
"374","1","1","1"
"375","1","1","1"
"376","1","1","1"
"377","1","1","1"
"378","0.8","0.8","0.8"
"379","1","1","1"
"380","0.8","0.8","0.8"
"381","0.8","0.8","0.8"
"382","0.6","0.6","0.6"
"383","0.8","0.8","0.8"
"384","1","1","1"
"385","1","1","1"
"386","1","1","1"
"387","1","1","1"
"388","0.8","0.8","0.8"
"389","0.7","0.7","0.7"
"390","0.7","0.7","0.7"
"391","1","1","1"
"392","1","1","1"
"393","1","1","1"
"394","0.8","0.8","0.8"
"395","0.8","0.8","0.8"
"396","0.9","0.9","0.9"
"397","0.8","0.8","0.8"
"398","0.8","0.8","0.8"
"399","1","1","1"