"Step","quality_score","mild-planet-545 - quality_score__MIN","mild-planet-545 - quality_score__MAX"
"0","1","1","1"
"1","1","1","1"
"2","1","1","1"
"3","0.8","0.8","0.8"
"4","1","1","1"
"5","1","1","1"
"6","0.9","0.9","0.9"
"7","1","1","1"
"8","1","1","1"
"9","1","1","1"
"10","1","1","1"
"11","1","1","1"
"12","1","1","1"
"13","1","1","1"
"14","0.9","0.9","0.9"
"15","0.9","0.9","0.9"
"16","0.9","0.9","0.9"
"17","0.9","0.9","0.9"
"18","1","1","1"
"19","1","1","1"
"20","1","1","1"
"21","0.9","0.9","0.9"
"22","1","1","1"
"23","1","1","1"
"24","1","1","1"
"25","1","1","1"
"26","1","1","1"
"27","1","1","1"
"28","1","1","1"
"29","1","1","1"
"30","0.9","0.9","0.9"
"31","0.9","0.9","0.9"
"32","1","1","1"
"33","1","1","1"
"34","1","1","1"
"35","1","1","1"
"36","1","1","1"
"37","0.9","0.9","0.9"
"38","1","1","1"
"39","0.9","0.9","0.9"
"40","1","1","1"
"41","1","1","1"
"42","1","1","1"
"43","1","1","1"
"44","1","1","1"
"45","1","1","1"
"46","1","1","1"
"47","0.9","0.9","0.9"
"48","1","1","1"
"49","1","1","1"
"50","1","1","1"
"51","1","1","1"
"52","0.9","0.9","0.9"
"53","1","1","1"
"54","1","1","1"
"55","1","1","1"
"56","0.9","0.9","0.9"
"57","1","1","1"
"58","1","1","1"
"59","0.9","0.9","0.9"
"60","0.9","0.9","0.9"
"61","0.9","0.9","0.9"
"62","1","1","1"
"63","0.9","0.9","0.9"
"64","1","1","1"
"65","0.9","0.9","0.9"
"66","1","1","1"
"67","0.9","0.9","0.9"
"68","0.9","0.9","0.9"
"69","1","1","1"
"70","1","1","1"
"71","0.9","0.9","0.9"
"72","0.9","0.9","0.9"
"73","0.9","0.9","0.9"
"74","1","1","1"
"75","1","1","1"
"76","0.9","0.9","0.9"
"77","0.9","0.9","0.9"
"78","0.9","0.9","0.9"
"79","1","1","1"
"80","0.9","0.9","0.9"
"81","0.9","0.9","0.9"
"82","0.9","0.9","0.9"
"83","0.9","0.9","0.9"
"84","0.8","0.8","0.8"
"85","0.9","0.9","0.9"
"86","0.9","0.9","0.9"
"87","1","1","1"
"88","1","1","1"
"89","1","1","1"
"90","1","1","1"
"91","1","1","1"
"92","0.9","0.9","0.9"
"93","0.9","0.9","0.9"
"94","0.95","0.95","0.95"
"95","1","1","1"
"96","0.9","0.9","0.9"
"97","0.9","0.9","0.9"
"98","1","1","1"
"99","0.9","0.9","0.9"
"100","1","1","1"
"101","0.9","0.9","0.9"
"102","1","1","1"
"103","1","1","1"
"104","0.9","0.9","0.9"
"105","1","1","1"
"106","1","1","1"
"107","0.9","0.9","0.9"
"108","0.9","0.9","0.9"
"109","0.9","0.9","0.9"
"110","1","1","1"
"111","0.9","0.9","0.9"
"112","1","1","1"
"113","0.9","0.9","0.9"
"114","0.9","0.9","0.9"
"115","0.9","0.9","0.9"
"116","1","1","1"
"117","0.9","0.9","0.9"
"118","1","1","1"
"119","0.9","0.9","0.9"
"120","1","1","1"
"121","1","1","1"
"122","1","1","1"
"123","0.8","0.8","0.8"
"124","1","1","1"
"125","1","1","1"
"126","1","1","1"
"127","0.9","0.9","0.9"
"128","1","1","1"
"129","1","1","1"
"130","1","1","1"
"131","1","1","1"
"132","1","1","1"
"133","1","1","1"
"134","1","1","1"
"135","1","1","1"
"136","0.9","0.9","0.9"
"137","0.95","0.95","0.95"
"138","1","1","1"
"139","0.95","0.95","0.95"
"140","1","1","1"
"141","0.9","0.9","0.9"
"142","0.9","0.9","0.9"
"143","1","1","1"
"144","1","1","1"
"145","1","1","1"
"146","1","1","1"
"147","0.9","0.9","0.9"
"148","1","1","1"
"149","0.9","0.9","0.9"
"150","1","1","1"
"151","0.9","0.9","0.9"
"152","1","1","1"
"153","1","1","1"
"154","1","1","1"
"155","1","1","1"
"156","1","1","1"
"157","1","1","1"
"158","1","1","1"
"159","1","1","1"
"160","1","1","1"
"161","0.8","0.8","0.8"
"162","1","1","1"
"163","1","1","1"
"164","1","1","1"
"165","1","1","1"
"166","1","1","1"
"167","1","1","1"
"168","1","1","1"
"169","1","1","1"
"170","1","1","1"
"171","1","1","1"
"172","1","1","1"
"173","1","1","1"
"174","0.9","0.9","0.9"
"175","0.9","0.9","0.9"
"176","1","1","1"
"177","1","1","1"
"178","1","1","1"
"179","1","1","1"
"180","1","1","1"
"181","1","1","1"
"182","1","1","1"
"183","1","1","1"
"184","1","1","1"
"185","1","1","1"
"186","1","1","1"
"187","1","1","1"
"188","0.9","0.9","0.9"
"189","1","1","1"
"190","0.9","0.9","0.9"
"191","1","1","1"
"192","1","1","1"
"193","1","1","1"
"194","1","1","1"
"195","0.9","0.9","0.9"
"196","1","1","1"
"197","1","1","1"
"198","0.9","0.9","0.9"
"199","0.9","0.9","0.9"
"200","1","1","1"
"201","0.9","0.9","0.9"
"202","1","1","1"
"203","0.9","0.9","0.9"
"204","0.9","0.9","0.9"
"205","1","1","1"
"206","0.9","0.9","0.9"
"207","1","1","1"
"208","1","1","1"
"209","1","1","1"
"210","1","1","1"
"211","0.9","0.9","0.9"
"212","1","1","1"
"213","1","1","1"
"214","1","1","1"
"215","1","1","1"
"216","1","1","1"
"217","1","1","1"
"218","1","1","1"
"219","1","1","1"
"220","1","1","1"
"221","1","1","1"
"222","1","1","1"
"223","1","1","1"
"224","1","1","1"
"225","1","1","1"
"226","1","1","1"
"227","1","1","1"
"228","1","1","1"
"229","1","1","1"
"230","0.9","0.9","0.9"
"231","1","1","1"
"232","1","1","1"
"233","1","1","1"
"234","1","1","1"
"235","1","1","1"
"236","1","1","1"
"237","1","1","1"
"238","0.9","0.9","0.9"
"239","1","1","1"
"240","1","1","1"
"241","1","1","1"
"242","1","1","1"
"243","1","1","1"
"244","0.9","0.9","0.9"
"245","0.9","0.9","0.9"
"246","1","1","1"
"247","0.9","0.9","0.9"
"248","1","1","1"
"249","1","1","1"
"250","1","1","1"
"251","0.9","0.9","0.9"
"252","0.9","0.9","0.9"
"253","0.9","0.9","0.9"
"254","0.9","0.9","0.9"
"255","1","1","1"
"256","1","1","1"
"257","1","1","1"
"258","0.9","0.9","0.9"
"259","1","1","1"
"260","0.9","0.9","0.9"
"261","1","1","1"
"262","0.9","0.9","0.9"
"263","0.9","0.9","0.9"
"264","1","1","1"
"265","0.9","0.9","0.9"
"266","0.9","0.9","0.9"
"267","0.9","0.9","0.9"
"268","1","1","1"
"269","1","1","1"
"270","1","1","1"
"271","0.9","0.9","0.9"
"272","1","1","1"
"273","0.9","0.9","0.9"
"274","1","1","1"
"275","1","1","1"
"276","0.9","0.9","0.9"
"277","0.9","0.9","0.9"
"278","1","1","1"
"279","0.9","0.9","0.9"
"280","0.9","0.9","0.9"
"281","1","1","1"
"282","0.9","0.9","0.9"
"283","0.9","0.9","0.9"
"284","1","1","1"
"285","0.9","0.9","0.9"
"286","1","1","1"
"287","0.9","0.9","0.9"
"288","1","1","1"
"289","1","1","1"
"290","0.9","0.9","0.9"
"291","0.9","0.9","0.9"
"292","0.9","0.9","0.9"
"293","0.8","0.8","0.8"
"294","0.9","0.9","0.9"
"295","1","1","1"
"296","1","1","1"
"297","0.9","0.9","0.9"
"298","1","1","1"
"299","1","1","1"
"300","1","1","1"
"301","1","1","1"
"302","1","1","1"
"303","1","1","1"
"304","1","1","1"
"305","1","1","1"
"306","1","1","1"
"307","1","1","1"
"308","1","1","1"
"309","1","1","1"
"310","1","1","1"
"311","1","1","1"
"312","1","1","1"
"313","1","1","1"
"314","1","1","1"
"315","1","1","1"
"316","1","1","1"
"317","0.9","0.9","0.9"
"318","0.9","0.9","0.9"
"319","0.9","0.9","0.9"
"320","0.9","0.9","0.9"
"321","1","1","1"
"322","1","1","1"
"323","1","1","1"
"324","1","1","1"
"325","1","1","1"
"326","1","1","1"
"327","1","1","1"
"328","0.9","0.9","0.9"
"329","1","1","1"
"330","1","1","1"
"331","1","1","1"
"332","1","1","1"
"333","1","1","1"
"334","1","1","1"
"335","1","1","1"
"336","1","1","1"
"337","1","1","1"
"338","0.9","0.9","0.9"
"339","1","1","1"
"340","0.9","0.9","0.9"
"341","0.9","0.9","0.9"
"342","1","1","1"
"343","1","1","1"
"344","1","1","1"
"345","1","1","1"
"346","1","1","1"
"347","1","1","1"
"348","1","1","1"
"349","0.9","0.9","0.9"
"350","1","1","1"
"351","1","1","1"
"352","1","1","1"
"353","0.8","0.8","0.8"
"354","0.9","0.9","0.9"
"355","1","1","1"
"356","1","1","1"
"357","1","1","1"
"358","1","1","1"
"359","0.9","0.9","0.9"
"360","0.9","0.9","0.9"
"361","0.9","0.9","0.9"
"362","1","1","1"
"363","1","1","1"
"364","1","1","1"
"365","1","1","1"
"366","1","1","1"
"367","1","1","1"
"368","1","1","1"
"369","0.9","0.9","0.9"
"370","1","1","1"
"371","1","1","1"
"372","0.9","0.9","0.9"
"373","1","1","1"
"374","1","1","1"
"375","1","1","1"
"376","1","1","1"
"377","1","1","1"
"378","0.9","0.9","0.9"
"379","1","1","1"
"380","1","1","1"
"381","1","1","1"
"382","1","1","1"
"383","0.9","0.9","0.9"
"384","1","1","1"
"385","1","1","1"
"386","1","1","1"
"387","1","1","1"
"388","1","1","1"
"389","1","1","1"
"390","0.9","0.9","0.9"
"391","1","1","1"
"392","1","1","1"
"393","1","1","1"
"394","1","1","1"
"395","1","1","1"
"396","1","1","1"
"397","1","1","1"
"398","1","1","1"
"399","1","1","1"