"Step","quality_score","lyric-paper-198 - quality_score__MIN","lyric-paper-198 - quality_score__MAX"
"0","0.8","0.8","0.8"
"1","0.8","0.8","0.8"
"2","0.8","0.8","0.8"
"3","0.8","0.8","0.8"
"4","1","1","1"
"5","1","1","1"
"6","0.8","0.8","0.8"
"7","1","1","1"
"8","1","1","1"
"9","0.9","0.9","0.9"
"10","1","1","1"
"11","1","1","1"
"12","1","1","1"
"13","0.9","0.9","0.9"
"14","1","1","1"
"15","0.9","0.9","0.9"
"16","1","1","1"
"17","0.8","0.8","0.8"
"18","1","1","1"
"19","0.9","0.9","0.9"
"20","1","1","1"
"21","0.8","0.8","0.8"
"22","1","1","1"
"23","1","1","1"
"24","1","1","1"
"25","1","1","1"
"26","0.9","0.9","0.9"
"27","1","1","1"
"28","1","1","1"
"29","1","1","1"
"30","0.95","0.95","0.95"
"31","1","1","1"
"32","0.8","0.8","0.8"
"33","0.9","0.9","0.9"
"34","0.8","0.8","0.8"
"35","1","1","1"
"36","1","1","1"
"37","1","1","1"
"38","0.8","0.8","0.8"
"39","1","1","1"
"40","0.9","0.9","0.9"
"41","1","1","1"
"42","1","1","1"
"43","1","1","1"
"44","1","1","1"
"45","0.8","0.8","0.8"
"46","0.8","0.8","0.8"
"47","0.9","0.9","0.9"
"48","1","1","1"
"49","0.9","0.9","0.9"
"50","1","1","1"
"51","1","1","1"
"52","1","1","1"
"53","1","1","1"
"54","1","1","1"
"55","0.9","0.9","0.9"
"56","0.9","0.9","0.9"
"57","0.8","0.8","0.8"
"58","1","1","1"
"59","1","1","1"
"60","1","1","1"
"61","1","1","1"
"62","0.9","0.9","0.9"
"63","0.9","0.9","0.9"
"64","1","1","1"
"65","1","1","1"
"66","1","1","1"
"67","0.8","0.8","0.8"
"68","0.9","0.9","0.9"
"69","1","1","1"
"70","0.9","0.9","0.9"
"71","0.9","0.9","0.9"
"72","1","1","1"
"73","0.9","0.9","0.9"
"74","0.8","0.8","0.8"
"75","1","1","1"
"76","1","1","1"
"77","0.9","0.9","0.9"
"78","0.9","0.9","0.9"
"79","1","1","1"
"80","1","1","1"
"81","1","1","1"
"82","1","1","1"
"83","0.9","0.9","0.9"
"84","1","1","1"
"85","1","1","1"
"86","1","1","1"
"87","0.9","0.9","0.9"
"88","0.9","0.9","0.9"
"89","0.9","0.9","0.9"
"90","1","1","1"
"91","1","1","1"
"92","0.9","0.9","0.9"
"93","0.9","0.9","0.9"
"94","1","1","1"
"95","0.9","0.9","0.9"
"96","1","1","1"
"97","1","1","1"
"98","1","1","1"
"99","1","1","1"
"100","1","1","1"
"101","0.8","0.8","0.8"
"102","1","1","1"
"103","0.9","0.9","0.9"
"104","0.9","0.9","0.9"
"105","1","1","1"
"106","0.9","0.9","0.9"
"107","1","1","1"
"108","0.8","0.8","0.8"
"109","1","1","1"
"110","1","1","1"
"111","1","1","1"
"112","0.9","0.9","0.9"
"113","1","1","1"
"114","1","1","1"
"115","1","1","1"
"116","0.9","0.9","0.9"
"117","0.8","0.8","0.8"
"118","0.9","0.9","0.9"
"119","1","1","1"
"120","1","1","1"
"121","0.9","0.9","0.9"
"122","1","1","1"
"123","0.9","0.9","0.9"
"124","1","1","1"
"125","1","1","1"
"126","0.9","0.9","0.9"
"127","1","1","1"
"128","0.9","0.9","0.9"
"129","1","1","1"
"130","1","1","1"
"131","1","1","1"
"132","1","1","1"
"133","1","1","1"
"134","1","1","1"
"135","0.9","0.9","0.9"
"136","1","1","1"
"137","1","1","1"
"138","1","1","1"
"139","1","1","1"
"140","0.9","0.9","0.9"
"141","1","1","1"
"142","0.8","0.8","0.8"
"143","1","1","1"
"144","1","1","1"
"145","1","1","1"
"146","1","1","1"
"147","0.9","0.9","0.9"
"148","0.9","0.9","0.9"
"149","0.9","0.9","0.9"
"150","1","1","1"
"151","1","1","1"
"152","0.8","0.8","0.8"
"153","1","1","1"
"154","1","1","1"
"155","1","1","1"
"156","1","1","1"
"157","1","1","1"
"158","1","1","1"
"159","1","1","1"
"160","1","1","1"
"161","1","1","1"
"162","1","1","1"
"163","1","1","1"
"164","1","1","1"
"165","1","1","1"
"166","1","1","1"
"167","0.9","0.9","0.9"
"168","1","1","1"
"169","0.9","0.9","0.9"
"170","1","1","1"
"171","1","1","1"
"172","1","1","1"
"173","1","1","1"
"174","1","1","1"
"175","1","1","1"
"176","1","1","1"
"177","1","1","1"
"178","1","1","1"
"179","1","1","1"
"180","1","1","1"
"181","0.9","0.9","0.9"
"182","1","1","1"
"183","1","1","1"
"184","1","1","1"
"185","0.9","0.9","0.9"
"186","1","1","1"
"187","1","1","1"
"188","0.9","0.9","0.9"
"189","1","1","1"
"190","1","1","1"
"191","0.8","0.8","0.8"
"192","1","1","1"
"193","1","1","1"
"194","1","1","1"
"195","1","1","1"
"196","1","1","1"
"197","0.9","0.9","0.9"
"198","1","1","1"
"199","1","1","1"
"200","0.8","0.8","0.8"
"201","0.9","0.9","0.9"
"202","0.8","0.8","0.8"
"203","1","1","1"
"204","0.9","0.9","0.9"
"205","1","1","1"
"206","0.9","0.9","0.9"
"207","1","1","1"
"208","1","1","1"
"209","1","1","1"
"210","1","1","1"
"211","1","1","1"
"212","1","1","1"
"213","0.8","0.8","0.8"
"214","1","1","1"
"215","0.9","0.9","0.9"
"216","1","1","1"
"217","0.9","0.9","0.9"
"218","1","1","1"
"219","0.9","0.9","0.9"
"220","0.8","0.8","0.8"
"221","1","1","1"
"222","1","1","1"
"223","1","1","1"
"224","1","1","1"
"225","1","1","1"
"226","1","1","1"
"227","1","1","1"
"228","1","1","1"
"229","1","1","1"
"230","1","1","1"
"231","1","1","1"
"232","1","1","1"
"233","0.8","0.8","0.8"
"234","1","1","1"
"235","1","1","1"
"236","0.8","0.8","0.8"
"237","0.9","0.9","0.9"
"238","1","1","1"
"239","0.9","0.9","0.9"
"240","0.8","0.8","0.8"
"241","1","1","1"
"242","0.9","0.9","0.9"
"243","1","1","1"
"244","1","1","1"
"245","1","1","1"
"246","1","1","1"
"247","0.9","0.9","0.9"
"248","1","1","1"
"249","1","1","1"
"250","1","1","1"
"251","0.8","0.8","0.8"
"252","1","1","1"
"253","0.9","0.9","0.9"
"254","1","1","1"
"255","1","1","1"
"256","0.9","0.9","0.9"
"257","0.9","0.9","0.9"
"258","0.9","0.9","0.9"
"259","1","1","1"
"260","0.9","0.9","0.9"
"261","0.9","0.9","0.9"
"262","0.9","0.9","0.9"
"263","0.8","0.8","0.8"
"264","1","1","1"
"265","0.9","0.9","0.9"
"266","1","1","1"
"267","0.9","0.9","0.9"
"268","1","1","1"
"269","1","1","1"
"270","0.9","0.9","0.9"
"271","0.9","0.9","0.9"
"272","1","1","1"
"273","1","1","1"
"274","0.8","0.8","0.8"
"275","0.9","0.9","0.9"
"276","0.9","0.9","0.9"
"277","1","1","1"
"278","0.9","0.9","0.9"
"279","0.8","0.8","0.8"
"280","0.9","0.9","0.9"
"281","0.9","0.9","0.9"
"282","0.9","0.9","0.9"
"283","1","1","1"
"284","0.9","0.9","0.9"
"285","0.8","0.8","0.8"
"286","1","1","1"
"287","1","1","1"
"288","0.9","0.9","0.9"
"289","0.9","0.9","0.9"
"290","0.9","0.9","0.9"
"291","1","1","1"
"292","0.8","0.8","0.8"
"293","0.9","0.9","0.9"
"294","0.8","0.8","0.8"
"295","1","1","1"
"296","1","1","1"
"297","0.9","0.9","0.9"
"298","1","1","1"
"299","1","1","1"
"300","0.8","0.8","0.8"
"301","0.8","0.8","0.8"
"302","1","1","1"
"303","0.9","0.9","0.9"
"304","0.9","0.9","0.9"
"305","0.9","0.9","0.9"
"306","0.9","0.9","0.9"
"307","0.8","0.8","0.8"
"308","1","1","1"
"309","0.8","0.8","0.8"
"310","0.9","0.9","0.9"
"311","0.8","0.8","0.8"
"312","1","1","1"
"313","1","1","1"
"314","1","1","1"
"315","1","1","1"
"316","1","1","1"
"317","0.8","0.8","0.8"
"318","1","1","1"
"319","1","1","1"
"320","1","1","1"
"321","1","1","1"
"322","1","1","1"
"323","1","1","1"
"324","1","1","1"
"325","1","1","1"
"326","1","1","1"
"327","0.8","0.8","0.8"
"328","1","1","1"
"329","1","1","1"
"330","1","1","1"
"331","1","1","1"
"332","1","1","1"
"333","1","1","1"
"334","1","1","1"
"335","1","1","1"
"336","1","1","1"
"337","1","1","1"
"338","1","1","1"
"339","1","1","1"
"340","0.9","0.9","0.9"
"341","1","1","1"
"342","0.9","0.9","0.9"
"343","1","1","1"
"344","1","1","1"
"345","1","1","1"
"346","0.8","0.8","0.8"
"347","1","1","1"
"348","1","1","1"
"349","1","1","1"
"350","1","1","1"
"351","1","1","1"
"352","0.8","0.8","0.8"
"353","1","1","1"
"354","1","1","1"
"355","1","1","1"
"356","0.9","0.9","0.9"
"357","1","1","1"
"358","1","1","1"
"359","1","1","1"
"360","0.9","0.9","0.9"
"361","1","1","1"
"362","1","1","1"
"363","1","1","1"
"364","1","1","1"
"365","1","1","1"
"366","1","1","1"
"367","0.9","0.9","0.9"
"368","1","1","1"
"369","0.9","0.9","0.9"
"370","0.9","0.9","0.9"
"371","1","1","1"
"372","0.9","0.9","0.9"
"373","1","1","1"
"374","0.8","0.8","0.8"
"375","1","1","1"
"376","1","1","1"
"377","1","1","1"
"378","0.8","0.8","0.8"
"379","1","1","1"
"380","1","1","1"
"381","0.9","0.9","0.9"
"382","1","1","1"
"383","0.8","0.8","0.8"
"384","0.9","0.9","0.9"
"385","1","1","1"
"386","1","1","1"
"387","1","1","1"
"388","1","1","1"
"389","0.9","0.9","0.9"
"390","1","1","1"
"391","1","1","1"
"392","1","1","1"
"393","0.8","0.8","0.8"
"394","1","1","1"
"395","1","1","1"
"396","1","1","1"
"397","1","1","1"
"398","1","1","1"
"399","0.9","0.9","0.9"